Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Bronx,Wakefield,40.89470518,-73.84720052,10466,23,0,8,22,741.6086957,,3.294117647,1.454545455,0,26.35294118,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Co-op City,40.87429419,-73.82993911,10475,25,0,18,25,749.6,,2.882352941,1.48,0,51.88235294,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Eastchester,40.88755568,-73.82780645,10466,25,0,24,25,554.44,,3.035947712,1.48,0,72.8627451,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Fieldston,40.89543743,-73.9056426,10471,25,0,16,24,875.12,,3.274509804,1.5,0,52.39215686,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Riverdale,40.89083449,-73.91258546,10463,25,0,23,25,633.56,,3.431372549,1.56,0,78.92156863,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Kingsbridge,40.88168737,-73.90281799,10463,25,0,25,25,532.28,,3.839215686,1.4,0,95.98039216,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Woodlawn,40.89827261,-73.86731497,10466,80,59,66,61,595.8220565,212.8474576,3.638829471,1.278688525,12558,240.1627451,78,38,17.7,4.223333333,531,126.7,0,5,127.6,4.02,638,20.1,32,6.083333333,3.8,73,45.6,12,432.5,4.175,5190,50.1,7,1713,155,148,0.04516129,2016.154839,6.458064516,16.07096774,2016.337838,6.763513514,16.66216216,11.57432432,,,,,
Bronx,Norwood,40.87722416,-73.87939074,10458,25,0,14,25,552.36,,2.887955182,1.32,0,40.43137255,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Williamsbridge,40.88103888,-73.85744643,10467,25,0,4,20,672.16,,3.843137255,1.5,0,15.37254902,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Baychester,40.86685811,-73.8357976,10475,58,45,56,51,633.759419,608.3333333,3.361764706,1.568627451,27375,188.2588235,80,25,24.63636364,4.190909091,271,46.1,0,7,101.5,4.5,406,18,20,3.555555556,4.188888889,32,37.7,4,740.25,3.95,2961,15.8,3,180,16,13,0.1875,2014,7.0625,19.25,2014,8.461538462,14.46153846,13.84615385,,,,,
Bronx,Pelham Parkway,40.8574135,-73.85475564,10461,25,0,13,22,636.2,,3.328808446,1.227272727,0,43.2745098,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,City Island,40.8472467,-73.78648845,10464,45,34,38,35,459.0398263,994.5588235,3.949690402,2.085714286,33815,150.0882353,73,5,10.33333333,4.266666667,31,12.8,0,5,61.6,4.4,308,22,12,1,5,3,15,1,70,4.2,70,4.2,0,65,14,14,0,2017.785714,7.357142857,18.5,2017.785714,7.642857143,14.42857143,4.642857143,,,,,
Bronx,Bedford Park,40.87018516,-73.88551218,10467,25,0,13,24,539.04,,2.888386124,1.291666667,0,37.54901961,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,University Heights,40.85572708,-73.91041596,10453,24,0,3,12,625.2916667,,3.065359477,1.5,0,9.196078431,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Morris Heights,40.84789793,-73.91967159,10453,25,0,7,13,732.2,,2.691876751,1.230769231,0,18.84313725,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Fordham,40.8609968,-73.89642656,10468,25,0,18,23,747.68,,3.736383442,1.304347826,0,67.25490196,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,East Tremont,40.84269616,-73.88735618,10457,51,28,32,45,662.5262519,296.9642857,3.476776961,1.311111111,8315,111.2568627,59,21,16.2,3.755,324,75.1,0,21,334.0952381,4.057142857,7016,85.2,10,1.5,4.5,3,9,13,370.8461538,4.215384615,4821,54.8,29,3731,398,373,0.072864322,2016.452261,6.814070352,15.82914573,2016.581769,6.857908847,15.12868633,10.00268097,,,,,
Bronx,West Farms,40.83947506,-73.87774475,10460,25,0,5,22,501.84,,2.443137255,1.318181818,0,12.21568627,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,High  Bridge,40.83662301,-73.92610209,10452,25,0,8,20,678.56,,2.931372549,1.5,0,23.45098039,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Melrose,40.81975437,-73.90942161,10455,53,35,42,47,653.0954,232.8285714,3.78636788,1.382978723,8149,159.027451,65,9,16.125,4.05,129,32.4,0,12,319.25,3.908333333,3831,46.9,12,16,3.733333333,96,22.4,14,400.9285714,4.128571429,5613,57.8,23,3095,243,224,0.094650206,2016.703704,6.765432099,16.32098765,2016.991071,7.075892857,15.89285714,13.81696429,,,,,
Bronx,Mott Haven,40.80623875,-73.91609987,10454,25,0,12,24,678.72,,3.281045752,1.375,0,39.37254902,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Port Morris,40.80166363,-73.91322139,10454,73,53,56,55,645.1616449,138.3584906,4.01337535,1.472727273,7333,224.7490196,81,28,12.72727273,4.231818182,280,93.1,0,18,88.84615385,4.184615385,1155,54.4,19,14.125,4.025,113,32.2,5,392,3.98,1960,19.9,17,1164,196,181,0.086734694,2017.107143,6.423469388,15.55612245,2017.486188,6.364640884,16.06629834,6.430939227,,,,,
